date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:41	69003/69003	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2002:01:40%20GMT	https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE	C:/Users/ADMIN/OneDrive/Desktop/d/www.odoo.com/vi_VN/app/crm0417.html	(from )
09:01:41	661/661	---MCZ	200	added ('OK')	text/plain	date:Fri,%2022%20Mar%202024%2002:01:41%20GMT	https://www.odoo.com/robots.txt		(from )
09:01:43	66383/66383	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2002:01:43%20GMT	https://www.odoo.com/vi_VN/app/crm	C:/Users/ADMIN/OneDrive/Desktop/d/www.odoo.com/vi_VN/app/crm.html	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
09:01:43	1913596/1913596	---MCZ	200	added ('OK')	text/css	etag:W/%2265f97ff5-1d32fc%22	https://odoocdn.com/web/assets/1/eecbf45/web.assets_frontend.min.css	C:/Users/ADMIN/OneDrive/Desktop/d/odoocdn.com/web/assets/1/eecbf45/web.assets_frontend.min.css	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
09:01:43	20450/20450	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265f829ee-4fe2%22	https://odoocdn.com/web/assets/1/40fbbb9/web.assets_frontend_minimal.min.js	C:/Users/ADMIN/OneDrive/Desktop/d/odoocdn.com/web/assets/1/40fbbb9/web.assets_frontend_minimal.min.js	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
09:01:46	70868/70868	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2002:01:45%20GMT	https://www.odoo.com/vi_VN/app/accounting	C:/Users/ADMIN/OneDrive/Desktop/d/www.odoo.com/vi_VN/app/accounting.html	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
09:01:47	68571/68571	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2002:01:47%20GMT	https://www.odoo.com/vi_VN/app/invoicing	C:/Users/ADMIN/OneDrive/Desktop/d/www.odoo.com/vi_VN/app/invoicing.html	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
09:01:50	70844/70844	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2002:01:49%20GMT	https://www.odoo.com/vi_VN/app/expenses	C:/Users/ADMIN/OneDrive/Desktop/d/www.odoo.com/vi_VN/app/expenses.html	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
09:01:52	64773/64773	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2002:01:51%20GMT	https://www.odoo.com/vi_VN/app/spreadsheet	C:/Users/ADMIN/OneDrive/Desktop/d/www.odoo.com/vi_VN/app/spreadsheet.html	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
09:01:53	118310/118310	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2002:01:53%20GMT	https://www.odoo.com/vi_VN/app/documents	C:/Users/ADMIN/OneDrive/Desktop/d/www.odoo.com/vi_VN/app/documents.html	(from https://www.odoo.com/vi_VN/app/crm?utm_source=google&utm_medium=cpc&utm_campaign=APAC-EN-CRM_App-Specific-Values-Broad&gad_source=1&gclid=CjwKCAjwte-vBhBFEiwAQSv_xRYoJPl3Qzzc16uAfTwWgKomHMVA3WvI8fNoWQyEpjd73XlcB3cLRhoC2RYQAvD_BwE)
